Date,High,Low,Open,Close,Volume,Adj Close,Month,Day_month,Day_week,GDP,Fund_Rate,Unemployement,Neg,Neu,Pos
2019-11-06,3078.340088,3065.889893,3075.100098,3076.780029,4458190000,3076.780029,11,6,2,2.1,1.55,3.5,0.035,0.812,0.152
2019-11-07,3097.77002,3080.22998,3087.02002,3085.179932,4144640000,3085.179932,11,7,3,2.1,1.55,3.5,0.036,0.812,0.152
2019-11-08,3093.090088,3073.580078,3081.25,3093.080078,3499150000,3093.080078,11,8,4,2.1,1.55,3.5,0.022,0.817,0.161
2019-11-11,3088.330078,3075.820068,3080.330078,3087.01001,3035530000,3087.01001,11,11,0,2.1,1.55,3.5,0.022,0.817,0.161
2019-11-12,3102.610107,3084.72998,3089.280029,3091.840088,3466010000,3091.840088,11,12,1,2.1,1.55,3.5,0.025,0.824,0.151
2019-11-13,3098.060059,3078.800049,3084.179932,3094.040039,3509280000,3094.040039,11,13,2,2.1,1.55,3.5,0.030,0.823,0.147
2019-11-14,3098.199951,3083.26001,3090.75,3096.629883,3276070000,3096.629883,11,14,3,2.1,1.55,3.5,0.022,0.831,0.147
2019-11-15,3120.459961,3104.600098,3107.919922,3120.459961,3335650000,3120.459961,11,15,4,2.1,1.55,3.5,0.019,0.836,0.145
2019-11-18,3124.169922,3112.060059,3117.909912,3122.030029,3436690000,3122.030029,11,18,0,2.1,1.55,3.5,0.029,0.805,0.166
2019-11-19,3127.639893,3113.469971,3127.449951,3120.179932,3590070000,3120.179932,11,19,1,2.1,1.55,3.5,0.024,0.821,0.155
2019-11-20,3118.969971,3091.409912,3114.659912,3108.459961,4034890000,3108.459961,11,20,2,2.1,1.55,3.5,0.026,0.818,0.157
2019-11-21,3110.110107,3094.550049,3108.48999,3103.540039,3720560000,3103.540039,11,21,3,2.1,1.55,3.5,0.031,0.812,0.157
2019-11-22,3112.870117,3099.26001,3111.409912,3110.290039,3226780000,3110.290039,11,22,4,2.1,1.55,3.5,0.020,0.840,0.140
2019-11-25,3133.830078,3117.439941,3117.439941,3133.639893,3511530000,3133.639893,11,25,0,2.1,1.55,3.5,0.028,0.815,0.157
